,categoria,item,1970
0,BRANCAS E ROSADAS,Aliatico,0
1,BRANCAS E ROSADAS,Aligote,530
2,BRANCAS E ROSADAS,Altesse,0
3,BRANCAS E ROSADAS,Alvarinho,0
4,BRANCAS E ROSADAS,Arriloba,0
5,BRANCAS E ROSADAS,Auxerrois,0
6,BRANCAS E ROSADAS,Burger,0
7,BRANCAS E ROSADAS,Chardonnay,0
8,BRANCAS E ROSADAS,Chasselas,0
9,BRANCAS E ROSADAS,Chenin Blanc,0
10,BRANCAS E ROSADAS,Clairette(1),146617
11,BRANCAS E ROSADAS,Colombard,0
12,BRANCAS E ROSADAS,Flora,0
13,BRANCAS E ROSADAS,Garganega,0
14,BRANCAS E ROSADAS,Gewurztraminer,0
15,BRANCAS E ROSADAS,Gouveio,0
16,BRANCAS E ROSADAS,Gros Manseng,0
17,BRANCAS E ROSADAS,Italia (Pirovano 65) (PE),0
18,BRANCAS E ROSADAS,Maccabeo,0
19,BRANCAS E ROSADAS,Malvasia,878012
20,BRANCAS E ROSADAS,Malvasia Amarela,0
21,BRANCAS E ROSADAS,Malvasia Bianca,0
22,BRANCAS E ROSADAS,Malvasia Chianti,0
23,BRANCAS E ROSADAS,Malvasia Istriana,0
24,BRANCAS E ROSADAS,Malvasia Verde,0
25,BRANCAS E ROSADAS,Malvasia di Candia,0
26,BRANCAS E ROSADAS,Mistura de uvas viníferas branco,0
27,BRANCAS E ROSADAS,Mistura de uvas viníferas rosado,0
28,BRANCAS E ROSADAS,Moscato Bianco R2,0
29,BRANCAS E ROSADAS,Moscato Branco,5772931
30,BRANCAS E ROSADAS,Moscato Canelli,0
31,BRANCAS E ROSADAS,Moscato Giallo,0
32,BRANCAS E ROSADAS,Moscato Nazareno,0
33,BRANCAS E ROSADAS,Moscato Rosado,0
34,BRANCAS E ROSADAS,Moscato de Alexandria,0
35,BRANCAS E ROSADAS,Muller Thurgau,0
36,BRANCAS E ROSADAS,Muscadelle,0
37,BRANCAS E ROSADAS,Muscat à Petits Grains,0
38,BRANCAS E ROSADAS,Ora,0
39,BRANCAS E ROSADAS,Outras(3),2126291
40,BRANCAS E ROSADAS,Palomino,0
41,BRANCAS E ROSADAS,Petit Manseng,0
42,BRANCAS E ROSADAS,Peverella,2084128
43,BRANCAS E ROSADAS,Pinot Blanc,4000
44,BRANCAS E ROSADAS,Pinot Gris,0
45,BRANCAS E ROSADAS,Prosecco,0
46,BRANCAS E ROSADAS,Red Veltliner,0
47,BRANCAS E ROSADAS,Riesling Italico,413149
48,BRANCAS E ROSADAS,Riesling Renano,0
49,BRANCAS E ROSADAS,Sauvignon Blanc(2),2819
50,BRANCAS E ROSADAS,Sauvignon Gris,0
51,BRANCAS E ROSADAS,Schonburger,0
52,BRANCAS E ROSADAS,Seara Nova,0
53,BRANCAS E ROSADAS,Semillon,1916
54,BRANCAS E ROSADAS,Sylvaner,0
55,BRANCAS E ROSADAS,Tocai Friulano,0
56,BRANCAS E ROSADAS,Trebbiano,7277270
57,BRANCAS E ROSADAS,Trebbiano Toscano,0
58,BRANCAS E ROSADAS,Verdea,0
59,BRANCAS E ROSADAS,Verdelho,0
60,BRANCAS E ROSADAS,Verdiso,7950
61,BRANCAS E ROSADAS,Vermentino,20461
62,BRANCAS E ROSADAS,Vernaccia,122467
63,BRANCAS E ROSADAS,Viognier,0
64,TINTAS,Alfrocheiro,0
65,TINTAS,Alicante Bouschet,0
66,TINTAS,Ancelota,0
67,TINTAS,Aramon,0
68,TINTAS,Arinarnoa,0
69,TINTAS,Aspirant Bouschet,0
70,TINTAS,Barbera,4548313
71,TINTAS,Bonarda,1631610
72,TINTAS,Cabernet Franc,238837
73,TINTAS,Cabernet Sauvignon,0
74,TINTAS,Caladoc,0
75,TINTAS,Campanario,0
76,TINTAS,Canaiolo,596766
77,TINTAS,Carignan,0
78,TINTAS,Carmenere,1235
79,TINTAS,Castelão,0
80,TINTAS,Cinsaut,0
81,TINTAS,Corvina,0
82,TINTAS,Croatina,0
83,TINTAS,Dolcetto,0
84,TINTAS,Dom Felder,0
85,TINTAS,Durif,0
86,TINTAS,Egiodola,0
87,TINTAS,Ekigaina,0
88,TINTAS,Festival (Sugraone),0
89,TINTAS,Franconia,0
90,TINTAS,Freisa,1661
91,TINTAS,Gamay Beaujolais,0
92,TINTAS,Gamay St Romain,0
93,TINTAS,Grand Noir,0
94,TINTAS,Grenache,19753
95,TINTAS,Jaen,0
96,TINTAS,Lagrein,0
97,TINTAS,Lambrusco,2259
98,TINTAS,Malbec,4097
99,TINTAS,Marselan,0
100,TINTAS,Marzemina,62546
101,TINTAS,Merlot,185596
102,TINTAS,Molinera,0
103,TINTAS,Montepulciano,0
104,TINTAS,Moscato Bailey,0
105,TINTAS,Napa Gamay,0
106,TINTAS,Nebbiolo,0
107,TINTAS,Outras1,0
108,TINTAS,Petit Verdot,0
109,TINTAS,Petite Sirah,0
110,TINTAS,Pinot Noir,0
111,TINTAS,Pinot Saint George,0
112,TINTAS,Pinotage,0
113,TINTAS,Piriquita,0
114,TINTAS,Rebo,0
115,TINTAS,Refosco,0
116,TINTAS,Rondinella,0
117,TINTAS,Ruby Cabernet,0
118,TINTAS,Sangiovese,27566
119,TINTAS,Sira (falsa),3127989
120,TINTAS,Tannat,0
121,TINTAS,Tempranillo,0
122,TINTAS,Teroldego,0
123,TINTAS,Tinta Barroca,0
124,TINTAS,Tinta Madeira,0
125,TINTAS,Tintoria,0
126,TINTAS,Torrontes,0
127,TINTAS,Touriga Francesa,0
128,TINTAS,Touriga Nacional,0
129,TINTAS,Trincdeira,0
130,TINTAS,Trousseau,0
131,TINTAS,Zinfandel,0
